page,paragraph_id,paragraph
6,80,"e känna till viktiga egenskaper hos och kunna beskriva vattnets roll som lösningsmedel och som transportmedel i mark och växter,"
6,81,"e känna till egenskaper hos luft och dess betydelse för kemiska processer såsom förbränning,"
6,82,e känna till hur man på ett säkert sätt hanterar vanliga kemikalier och brandfarliga ämnen.
7,83,I en värld som präglas av internationella kontakter är det önskvärt att alla svenskar kan engelska så väl att de kan förstå och använda språket i både tal och skrift. Genom att engelska språket numera har en så dominerande ställning i hela det internationella samhället fungerar det som ett globalt språk.
7,84,"Det ökande utbudet av engelska i massmedierna, det intensifierade reselivet och behovet av att kunna kommunicera på många olika områden, såväl i privatlivet som i utbildningen och arbetslivet, gör att kraven på bredd och djup i engelskkunskaperna ständigt växer. Till denna breddning och fördjupning hör sådana kunskaper som ger vidgade perspektiv på levnadsförhållanden, tänkesätt, seder och kultur i engelskspråkiga länder."
7,85,Syftet med undervisningen i engelska är att eleverna skall förvärva så goda språkfärdigheter och så mycket relevant samhälls- och kulturkunskap att de kan fungera i de olika sammanhang där engelskan används för språklig kommunikation.
7,86,Mål att sträva mot
7,87,"Skolan skall i sin undervisning i engelska sträva efter att eleven e förstår varierande former av engelskt tal och blir medveten om de olika språkliga varianter som har sin grund i sociala och regionala skillnader inom den engelskspråkiga världen,"
7,88,"e kan inleda och delta i samtal och diskussioner och därvid uttrycka egna åsikter och bemöta andras,"
7,89,"e utvecklar sin förmåga att använda engelska för att berätta, beskriva och förklara,"
7,90,"e kan läsa och förstå texter av varierande slag, såsom nyhetsartiklar och faktatexter i tidningar och tidskrifter,"
7,91,"e läser och tillgodogör sig litteratur som kan möta behov av bl.a spänning och upplevelser och som kan stimulera till fortsatt läsande på egen hand,"
7,92,"e lär känna sådan skönlitteratur, poesi och musik som representerar såväl den engelskspråkiga kulturtraditionen som den kultur eleverna i dag omges av,"
7,93,"e vänjer sig vid att läsa engelska texter som anknyter till andra skolämnen och till temaoch projektarbeten eller som rör egna intresseområden,"
7,94,"e kan formulera sig tydligt och vårdat i skrift och vänjer sig vid att uttrycka upplevelser och tankar i skrift så att skrivandet blir en hjälp att befästa och utveckla språket,"
7,95,"e lär sig att analysera, bearbeta och förbättra sitt språk mot allt större variation och formell säkerhet,"
7,96,"e inhämtar kunskaper om samhällsförhållanden och kulturliv i engelskspråkiga länder och lär sig beskriva och göra jämförelser med motsvarande svenska förhållanden,"
7,97,"e är van att ta ansvar för sin egen språkinlärning,"
7,98,"e gör det till en vana att använda ordböcker, uppslagsböcker och grammatikor som hjälpmedel och att utnyttja datorer för skrivande, informationssökning och kommunikation,"
7,99,e har en tilltro till sin förmåga att använda engelska i alla de sammanhang där det finns ett behov av att kommunicera på språket.
7,100,Ämnets uppbyggnad och karaktär
7,101,Kunskaper i att använda det engelska språket och insikter i den engelskspråkiga världens kultur i vid mening utgör de centrala delarna i ämnet.
7,102,Kommunikativ språkfärdighet
7,103,Att kunna kommunicera med hjälp av språket står i fokus för språkinlärningen. Undervisningen skall utgå från ett meningsfullt och intresseväckande innehåll. Eleverna utvecklar sin språkfärdighet genom att lyssna till och läsa om sådant som angår och engagerar dem och genom att använda språket för att uttrycka egna tankar i tal och skrift. Det språkliga och sociala samspelet eleverna emellan har här en viktig roll. Det ligger också ett värde i att eleverna försöker hitta vägar för att förstå eller göra sig förstådda även i situationer där den egna språkförmågan ännu inte riktigt räcker till.
8,105,"I dag möter svenska barn det engelska språket långt före skolåldern, framför allt genom det rika utbudet av engelskspråkiga TV-program. Det är därför väsentligt att redan den tidiga undervisningen i engelska söker fånga upp sådant som väcker elevernas intresse och nyfikenhet också utanför skolans värld. Bilder, rörelse, musik och eget skapande kan ytterligare stimulera och stödja språkutvecklingen och därmed svara mot elevernas behov av fantasi och lek."
8,106,"Även fortsättningsvis är fantasi och lek, liksom stoff som stimulerar nyfikenhet, viktiga inslag i undervisningen. Med elevernas stigande ålder och mognad blir det naturligt att också lägga vikt vid grammatiska strukturer och mer formell språkträning. En sådan språkträning syftar till att utveckla såväl den formella säkerheten som förmågan att variera språket i fråga om ordförråd, fraser och satsbyggnad."
8,107,"Uttalet är en viktig del av den språkliga kommunikationen. Elevernas uttal när det gäller enskilda ljud, betoning, intonation och rytm grundläggs från nybörjarstadiet och uppmärksammas sedan under hela studiegången. Förebilden för elevernas eget uttal bör vara vårdad brittisk eller amerikansk engelska."
8,108,Interkulturell förståelse
8,109,"Varje nytt språk är fftämmande också i den meningen att det —- jämfört med modersmålet ofta är uttryck för ett annorlunda sätt att bete sig, för olika levnadsförhållanden, för olika värderingar och för en annan kultur. För många av dagens elever är kulturell mångfald en naturlig och integrerad del av den egna vardagen."
8,110,"Kunskaper om de engelskspråkiga ländernas vardagsliv, historia, geografi, samhällsförhållanden och religioner har ett värde i sig. Sådana kunskaper ger också eleverna en bättre bakgrund när de söker förstå exempelvis film och litteratur, när de tar del av nyhetsförmedling i media och när de vill komma i personlig kontakt med engelsktalande. Eleverna får genom internationella jämförelser också nya perspektiv på svenskt samhällsliv och svenska förhållanden."
8,111,Mål som eleverrta skall ha uppnått i slutet av det fémte skolåret
8,112,"Eleven skall e förstå tydligt och enkelt tal och själv kunna delta i enkla samtal,"
8,113,"e kunna läsa och förstå enkla berättelser och beskrivningar,"
8,114,"e kunna göra sig förstådd i skrift, t.ex i enkla meddelanden,"
8,115,e känna till något om levnadsförhållanden i engelskspråkiga länder.
8,116,"Mål som eleverha skall ha uppnått i slutet av det nfonde skolåret Eleven skall e förstå tydligt brittiskt och amerikanskt tal, e kunna delta aktivt i samtal om vardagliga ämnen och kända förhållanden, e på ett enkelt språk kunna muntligt berätta något som han eller hon hört, läst eller upplevt, e kunna läsa och tillgodogöra sig innehållet i berättande och beskrivande texter samt ta fram fakta ur en saktext, e kunna formulera sig skriftligt i enkla former, t.ex. 1 meddelanden och brev, e ha allmänna kunskaper om samhällsförhållanden, kulturtraditioner och levnadssätt i engelsktalande länder,"
9,118,e vara van att använda ordbok och grammatik som hjälpmedel vid läsning och skrivning på egen hand.
10,119,"Geografiämnet behandlar människan och hennes omgivning, natur- och kulturlandskapet, samspelet dem emellan och sambanden mellan olika geografiska områden. Ämnet, med hemort inom både naturvetenskap och samhällsvetenskap, skall ge eleven en förståelse för samband, sammanhang och helheter och en grund för att kunna se och bedöma alternativa lösningar på problem som har med människan och hennes omgivning att göra."
10,120,"Geografiämnet skall ge en grundläggande referensram av kunskaper om olika platser och områden samt deras belägenhet. Geografin skall ge kunskaper om de geografiska upptäckterna, skilda natur- och kulturgeografiska miljöer i världen och om de grundläggande levnadsvillkoren inom dessa i ett historiskt perspektiv. Detta skall leda till elementära insikter i frågor som gäller mänsklighetens överlevnad. Eleven skall utveckla kunskaper om naturresursernas begränsningar och sträva mot en bättre hushållning med befintliga resurser. En ekologisk grundsyn skall prägla analysen av förhållandet mellan människan och hennes omgivning."
10,121,"För att analysera sambandet mellan människa och miljö krävs kunskaper om olika livsformer och deras konsekvenser för naturen, om de naturprocesser som format landskapet och om det komplicerade samspelet mellan mark, vatten och luft. Geografiämnet tar upp de naturgivna betingelserna för människans existens och verksamheter och behandlar konsekvenserna av hennes utnyttjande av jorden och dess resurser."
10,122,"Geografiämnet skall ge insikter i frågor om människors ömsesidiga beroende, lokalt, regionalt och globalt. Ämnet skall också ge insikter i frågor som rör den ojämna resursfördelningen. I ämnet studeras den mänskliga populationens tillväxt och fördelning över jordytan samt förändringarna av detta. Vidare studeras de mänskliga verksamheternas utbredning och förändringar och hur detta sammanlänkar platser och regioner."
10,123,"Geografin ger kunskaper om omvärlden och syftar till att stärka elevens rumsuppfattning. Ämnet skall bidra till att bygga en grund för förståelsen av olika regioners naturbetingade, kulturella, sociala och ekonomiska särart. Dessutom skall geografiämnet främja elevens intresse för att lära känna människors skilda levnadsvillkor. Det bidrar därigenom till en ökad förståelse och respekt för andras kultur, värderingar och sätt att leva."
10,124,Mål att sträva mot
10,125,"Skolan skall i sin undervisning i geografi sträva efter att eleven e vidgar sina kunskaper om natur och samhälle och sambanden däremellan i olika delar av världen och därigenom får förståelse för människors levnadsvillkor,"
10,126,"e får insikt i de processer som formar och förändrar naturlandskapet inklusive människans påverkan på dessa processer och konsekvenserna därav,"
10,127,"e får kunskaper om hur landskapet har förändrats under olika historiska betingelser och får insikt om hur landskapet fungerar som resurs,"
10,128,"e utvecklar förmågan att reflektera kring och ta ställning till olika alternativ för resursfördelning och resursanvändning samt ökar förtrogenheten med ekologiskt tänkande,"
10,129,"e vidgar sina kunskaper om hur människans olika ekonomiska, tekniska, politiska, sociala och kulturella aktiviteter länkar samman platser och regioner och kan reflektera över följderna av sådana samband,"
10,130,e får kännedom om hur människans föreställningar om världen och om kartbilden skiljer sig mellan olika tider och kulturer.
10,131,Ämnets uppbyggnad och karaktär
10,132,"Ämnet geografi i skolan handlar om beskrivning, analys och konsekvensinriktning. Med beskrivning menas att lära känna världen. Analys innebär att kunna skaffa och använda hjälpmedel för att förklara och förstå. Med dessa kunskaper som grund skall möjliga konsekvenser av människans påverkan i naturen och av rumsliga samband förstås. Detta utgör ämnets konsekvensinriktning."
11,134,"Geografiämnets kunskapsinnehåll handlar om e jorden och jordytan, naturgivna processer och effekter på jordytan av människans verksamhet över tiden,"
11,135,"e helheten och därmed begränsningen av sådant som utrymme och resurser,"
11,136,"e omvärlden och dess rumsliga mönster, processer och samband från den lokala till den globala skalan,"
11,137,e de geografiska förutsättningarna för och konsekvenserna av förändringar i natur och samhälle.
11,138,"Samspelet mellan människan och hennes omgivning studeras i olika landskap såsom hembygden, olika miljöer och olika länder. Successivt utvecklas och kompletteras elevens kunskaper om världen/jorden som helhet. Globen är modellen av helheten inom vilken alla studerade landskap har en plats och kartan är ett nödvändigt hjälpmedel i studierna. Ett centralt begrepp är landskap i dess vida betydelse av både natur- och kulturlandskap. Andra begrepp är plats, läge och utbredning."
11,139,"Kunskaper om olika regioner och områden ger underlag för studiet av huvuddrag och strukturer, t.ex identifiering av globala klimat- och vegetationszoner, jordbruks- och gruvdistrikt, industriregioner m.m. Begrepp som avstånd, utrymme, lokalisering och flöden är hjälpmedel för att eleven skall få kunskaper som inte bara är knutna till en unik plats och en speciell tid, utan är generella och användbara för kommande tider, i nya situationer och i nya områden."
11,140,"Studier av landskapstyper leder till frågor om natur- och kulturlandskapens uppkomst, framväxt och förändringar. Bakgrunden till förändringar är regionala olikheter i den geografiska fördelningen av bl.a naturförutsättningar, människor, resurser och verksamheter. En analys av landskapsförändringar måste vidare omfatta faktorer som omvärldsuppfattning, teknikens möjligheter, ekonomins restriktioner, attityder och politiska värderingar. Dessa faktorer ger upphov till flöden som flyttningar, handel eller andra kontakter mellan olika områden och därmed till rumsliga samband."
11,141,"En sådan allmängeografisk analys är en väsentlig del i en process- och konsekvensorienterad geografi. Det är skolgeografins uppgift att träna eleverna i att förstå förhållanden och processer i landskapet och att reflektera över konsekvenser därav, såväl i närmiljön som i global skala."
11,142,Mål som eleverna skall ha uppnått i slutet av det femte skolåret
11,143,"Eleven skall e förstå vad en karta är och hur den används, vara förtrogen med globen och känna till olika platsers och områdens lägen i förhållande till varandra samt kunna uppskatta avstånd,"
11,144,"e ha relevanta namnkunskaper i geografi,"
11,145,"e förstå innebörden av begreppen väder, klimat och årstider och ha kännedom om hur sådana förhållanden varierar över jordytan,"
11,146,"e känna till några krafter som har format jordytan och förändrar landskapet och som påverkar levnadsvillkoren,"
11,147,"e känna till några grundläggande egenskaper hos svenska landskapstyper,"
11,148,"e vara medveten om hur vårt handlande påverkar närmiljön. också grunden till sitt uttal genom att lyssna och imitera. Efter hand blir det naturligt att uppmärksamma de mer formella sidorna av språket, att ge ökad kunskap om grammatiska strukturer och att ge eleverna möjlighet att öva sin förmåga till språklig variation."
12,150,Interkuiturell förståelse
12,151,"Varje nytt språk är ffrämmande också i den meningen att det - jämfört med modersmålet ofta är uttryck för ett annorlunda sätt att tänka och bete sig, för olika värderingar och för en annan kultur. Studier i ffrämmande språk skall medverka till att utveckla förståelse för andra kulturer."
12,152,"Kännedom om de olika ländernas vardagsliv, historia, geografi, samhällsförhållanden och religion har ett värde i sig. Sådana kunskaper ger också eleverna en bättre bakgrund när de söker förstå film och litteratur, när de tar del av nyhetsförmedling och när de vill komma i personlig kontakt med människor."
12,153,"Eleverna skall också få viss kännedom om de regionala och sociala skillnader som råder såväl inom som mellan de olika språkområdena, skillnader som bl.a återspeglas i sättet att tala språket."
12,154,"Mål som eleverna skall ha uppnått 1 slutet av det nionde skolåret B-språk Eleven skail e förstå huvudinnehållet i vårdat och tydligt talspråk, e kunna delta i samtal om vardagliga ämnen, e kunna, på ett enkelt språk, muntligt berätta eller beskriva något som han eller hon hört, läst eller upplevt, e kunna läsa och förstå huvudinnehållet i enkla berättande eller beskrivande texter samt ta fram fakta ur en enkel saktext, e kunna formulera sig i skrift i enkla former, t.ex i meddelanden och brev, e ha vissa kunskaper om samhällsförhållanden, levnadssätt och kultur i aktuella länder, e vara van att använda ordbok och grammatik som hjälpmedel."
12,155,C-språk
12,156,"Eleven skall e förstå huvudinnehållet i vårdat, enkelt och tydligt talspråk,"
12,157,"e kunna besvara och ställa enkla frågor i ett samtal om vardagliga ämnen,"
12,158,"e kunna muntligt och skriftligt, i enkel form, berätta om sig själv och egna förhållanden,"
12,159,"e kunna läsa och förstå det väsentliga i korta och enkla texter av berättande eller beskrivande karaktär,"
12,160,"e ha vissa kunskaper om levnadssätt och samhällsförhållanden i aktuella länder,"
12,161,e vara van att använda ordbok och grammatik som hjälpmedel.
13,162,Mål som eleverna skall ha uppnått 1 slutet av det nionde skolåret
13,163,"Eleven skall e ha kunskaper om världskartan och känna till viktiga namn, läges- och storleksrelationer och genom kartjämförelser kunna dra slutsatser om natur- och kulturlandskap,"
13,164,"e ha kännedom om hur människor lever och arbetar i skilda miljöer i världen samt kunna ange de viktigaste faktorerna bakom dagens landskapsbild och kulturlandskapets framväxt,"
13,165,"e ha kunskaper om några av de viktigaste processerna som formar och förändrar naturlandskapet och känna till huvuddragen i klimat- och vegetationszonerna i världen,"
13,166,"e förstå vad som utgör resurser i naturen, kunna se sambanden mellan naturresurser och verksamheter och ge exempel på hur vi påverkar den lokala och den globala miljön genom vårt handlande,"
13,167,"e ha kunskaper om hur viktiga förändringar i samhället såsom industrialisering, urbanisering och globalisering av kommunikationer och handel har påverkat och påverkar landskapet och människans levnadsvillkor,"
13,168,"e kunna beskriva, jämföra och analysera områden genom att själv välja ut och göra kartor, bilder, texter och diagram."
